Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Customer Watch Status Date,Credit Risk Rating,Credit Risk Rating Date,Assigned Risk Rating Date,Primary Industry Group,Primary Industry,Industry Group,Industry,Industry Weighting,Citizenship Class,Assigned Rating/ECGD Status,Loss Given Default,Probability of Default
ABANCA CORPORACION BANCARIA S.A.,00324248,0014K00000XNSoCQAX,BANK,Good,NULL,N/A,2022-03-15,2022-03-15,FINANCIAL,BANK,FINANCIAL,BANK,0,NO,CORPORATE,0,0
ACROW GLOBAL LIMITED,00319456,0010X0000538pt8QAA,COMPANY,Good,NULL,N/A,2021-08-19,2021-08-19,CIVIL: CONSTRUCTION,BRIDGES,CIVIL: CONSTRUCTION,BRIDGES,0,NO,CORPORATE,0,0
AF CONSTRUCTION LLC,00317770,0010X00004YwWFXQA3,COMPANY,Good,NULL,N/A,2021-06-18,2021-06-18,CIVIL: CONSTRUCTION,COMMERICAL,CIVIL: CONSTRUCTION,COMMERICAL,0,NO,CORPORATE,0,0
AL YAH SATELLITE COMMS COMPANY,00322585,0014K00000QtX7jQAF,COMPANY,Good,NULL,A-,2022-12-29,2023-03-02,CIVIL: CREATIVE & MEDIA,CREATIVE & MEDIA,CIVIL: CREATIVE & MEDIA,CREATIVE & MEDIA,0,N/A,CORPORATE,50,0
AMPCONTROL UK LIMITED,00308009,001b000000kTxNfAAK,COMPANY,Good,NULL,N/A,2005-04-26,2015-03-26,CIVIL: MINING & METALS,MINING & METALS : MISCELLANEOUS,CIVIL: MINING & METALS,MINING & METALS : MISCELLANEOUS,0,YES,CORPORATE,0,0
AQUA AFRICA LIMITED,00305194,001b000000phuy1AAA,COMPANY,Good,NULL,N/A,2020-08-28,2020-08-28,CIVIL: WATER,CIVIL: WATER MISCELLANEOUS,CIVIL: WATER,CIVIL: WATER MISCELLANEOUS,0,YES,CORPORATE,0,0
ATLAS AIR INC,00314228,0010X00004Eqe0CQAR,COMPANY,Good,NULL,BB-,2016-05-23,2018-03-08,CIVIL: AERO,CIVIL: AERO MISCELLANEOUS,CIVIL: AERO,CIVIL: AERO MISCELLANEOUS,0,NO,CORPORATE,0,0
ATLAS AIR WORLDWIDE HOLDINGS,00300018,0010X000051xAfqQAE,COMPANY,Good,NULL,BB-,2017-07-04,2019-10-25,CIVIL: AERO,AERO ENGINES,CIVIL: AERO,AERO ENGINES,0,NO,CORPORATE,0,0
ATLAS COVERTING EQUIPMENT LTD,00303506,001b000000f7IhpAAE,COMPANY,Good,NULL,N/A,2016-12-12,2016-12-12,CIVIL: PROCESS PLANT & EQUIPMENT,PROCESS PLANT EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT,PROCESS PLANT EQUIPMENT,0,YES,CORPORATE,0,0
AVERY BERKEL LIMITED,00304094,001b000000jvJPZAA2,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: PROCESS PLANT & EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CIVIL: PROCESS PLANT & EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,0,YES,CORPORATE,0,0
AVIVA LIFE & PENSIONS UK LIMITED,00311613,0014K00000TJrDrQAL,COMPANY,Good,NULL,N/A,2018-03-29,2018-03-29,FINANCIAL,FINANCIAL : MISCELLANEOUS,FINANCIAL,FINANCIAL : MISCELLANEOUS,0,NO,CORPORATE,0,0
BABCOCK MARINE SHIPBUILDING LIMITED,00326560,0014K00000iy09HQAQ,COMPANY,Good,NULL,N/A,2024-03-18,2024-03-18,DEFENCE: CATEGORY B (NON SHARP ARMS),"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",DEFENCE: CATEGORY B (NON SHARP ARMS),"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",0,YES,CORPORATE,0,0
BALFOUR BEATTY PLC,00300166,0010X000047f8cEQAQ,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,0,YES,CORPORATE,0,0
BEROA BIERRUM,00317193,0010X00004PwS7CQAV,COMPANY,Good,NULL,N/A,2019-03-22,2019-03-22,CIVIL: POWER,TRANSMISSION,CIVIL: POWER,TRANSMISSION,0,YES,CORPORATE,0,0
BPI FRANCE ASSURANCE EXPORT S.A.S,00315356,0010X00004EFwNPQA1,COMPANY,Good,NULL,N/A,2022-03-29,2022-03-29,CIVIL: SATELLITES,CIVIL: SATELLITES MISCELLANEOUS,CIVIL: SATELLITES,CIVIL: SATELLITES MISCELLANEOUS,0,NO,CORPORATE,0,0
BRISTOW GROUP INC,00327626,0014K00000pNH6rQAG,COMPANY,Good,NULL,B,2024-06-19,2024-06-19,DEFENCE: CATEGORY B (NON SHARP ARMS),AIRCRAFTS AND PARTS,DEFENCE: CATEGORY B (NON SHARP ARMS),AIRCRAFTS AND PARTS,0,NO,CORPORATE,0,0
